FORMULA,NAME,NOMBRE,DENSIDAD g/mL,PESO MOLECULAR g/mol,OH,DOI-OH,Cl,DOI-Cl,NO3,DOI-NO3,O3,DOI-O3,,
CH3CO2CH2CH=CHCH2CH2CH3,Trans-2-hexenylacetate,Trans-2-hexenilacetato,,,6.88E-11,https://doi.org/10.1016/j.atmosenv.2017.04.033,3.10E-10,https://doi.org/10.1016/j.atmosenv.2017.04.033,,,2.12E-17,https://doi.org/10.1002/(SICI)1097-4601(1996)28:5<373::AID-KIN6>3.0.CO;2-S, ,
CF?CF?COOH,Pentafluoro propanoic acid,Acido pentafluoropropanoico ,,,1.69E-13,https://doi.org/10.1021/jp036343b,1E10?17,https://doi.org/10.1016/j.cplett.2003.09.085,,,,,,
C6H10(=O),Cyclohexanone,Ciclohexanona,,,5.35E-12,10.1021/jp209654h,1.70E-10,10.1023/B:JOCH.0000044424.22309.d8,,,,,,
CF3COOCH3,Methyl trifluoroacetate,Metil trifluoroacetato,,,4.97E-14,https://doi.org/10.1016/j.atmosenv.2007.05.013,9.00E-14,https://doi.org/10.1016/j.cplett.2008.01.004,,,,,,
CH3COCOCH3,"2,3- Butanodione","2,3-Butanodiona",,,2.48E-13,https://doi.org/10.1021/j100326a026,5.27E-13,10.1039/b313587j,,,,,,
CH3COO(CH2)4CH3,Amyl acetate,Acetato de amilo,,,7.59E-12,https://doi.org/10.1021/jp9606218,1.79E-10,https://doi.org/10.1007/s11356-014-2913-9,,,,,,
CH3(CH2)7OH,n-Octyl alcohol,Alcohol n-Octilico,,,1.44E-11,https://doi.org/10.1002/kin.550221102,3.94E-10,https://doi.org/10.1002/kin.550221102, ,,, ,,
(CH3)2CHCH2OH.,Isobutyl alcohol,Alcohol Isobutilico,,,9.20E-12,10.1039/b316514k,1.96E-10,https://doi.org/10.1002/kin.10109,,,, ,,
C?H??,Cyclopentane,Ciclopentano ,,,4.97E-12,https://acp.copernicus.org/articles/3/2233/2003/acp-3-2233-2003.pdf,2.31E-11,https://doi.org/10.1021/j100191a031,,,,,,
CH3COCH2COCF3,"1,1,1-trifluoro-2,4-pentanedione","1,1,1-trifluoro-2,4-pentanodiona",,,1.30E-11,Por Publica Pedro,1.39E-10,Por Publica Pedro,,,,,,
CH3CH2COOCH=CH2,Vinyl propionate,Propionato de vinilo,,,2.46E-11,/10.1016/j.cplett.2010.12.059,2.06E-10,/10.1016/j.cplett.2009.07.103,,,5.30E-18,/10.1016/j.cplett.2013.05.049, ,
CH3CH2CH2COOCH=CH2,Vinyl butyrate,Butirato de vinilo,,,2.61E-11,http://dx.doi.org/10.1016/j.cplett.2016.04.019,2.48E-10,http://dx.doi.org/10.1016/j.cplett.2016.04.019,,,,,,
CH3CH2CH2CO2CH2CH=CH2,Allyl butyrate,Butirato de Alilo,,,2.89E-11,http://dx.doi.org/10.1016/j.cplett.2016.04.019,2.25E-10,http://dx.doi.org/10.1016/j.cplett.2016.04.019,,,,,, 
CH3CH2CH2CH=CHCH2OH,Trans-2-hexen-1-ol,Trans-2-hexen-1-ol,,,1.00E-10,/10.1016/j.atmosenv.2013.05.019,3.49E-10,/10.1016/j.atmosenv.2014.05.050,1.30E-13,/10.1039/B510835G,,,,
CH3CO2CH2CH2CH=CHC2H5,Cis-3-hexenyl-acetate,Cis-3-hexenil-acetato,,,7.84E-11,/10.1002/kin.550271002,,,2.46E-13,/10.1002/kin.550271002,5.40E-17,/10.1002/kin.550271002,,
CH3(CH2)5CH=CHCHO,Trans-2-nonenal,Trans-2-nonenal,,,4.35E-11,10.1002/kin.20424,,,,,2.05E-18,10.1039/c4ra17283c, ,
CH3(CH2)4CH=CHCHO,Trans-2-octenal,Trans-2-octenal,,,4.05E-11,10.1002/kin.20424,,,5.60E-15,10.1021/jp3071234.,2.37E-18,10.1039/c4ra17283c, ,
H2C=C(CH3)CO2CH2CF3,"2,2,2-trifluoroethyl methacrylate","2,2,2-Trifluoroetil metacrilato",,,1.70E-11,/10.1039/c9ra08034a,2.22E-10,/10.1016/j.atmosenv.2018.01.055,,,,,,
H2C=C(CH3)CO2CH(CF3)2,"1,1,1,3,3,3, -hexafluoroisopropylmethacrylate","1,1,1,3,3,3,-Hexafluoroisopropilmetacrilato",,,1.67E-11,/10.1039/c9ra08034a,2.44E-10,/10.1016/j.atmosenv.2018.01.055,,,,,,
CH2=CHC(O)OCH(CF3)2,"1,1,1,3,3,3-hexafluoroisopropylacrylate","1,1,1,3,3,3-hexafluoroisopropilacrylato",,,1.22E-11,/10.1039/c9ra08034a,1.39E-10,/10.1016/j.atmosenv.2018.01.055,,,,,,
CH3COCH(Cl)CO2CH3,Methyl 2-chloroacetoacetate,Metil-2-cloroacetoacetato,,,2.70E-11,Por Publica Vianni,2.25E-10,Por Publica Vianni,,,,,,
CH3COCH(Cl)CO2CH2CH3,Ethyl 2-chloroacetoacetate,Etil-2-cloroacetoacetato,,,3.37E-11,Por Publica Vianni,2.41E-10,Por Publica Vianni,,,,,,
ClCF2CO2C2H5,Ethyl chlorodifluoroacetate,Etilclorodifluoroacetato,,,5.40E-13,/10.1016/j.cplett.2007.04.071,1.50E-12,/10.1016/j.cplett.2007.04.071,,,,,,
ClF2CCOOCH3,"Methyl-2-chloro-2,2-difluoroacetate","Metil-2-cloro-2,2-difluoroacetato",,,1.10E-13,/10.1016/j.cplett.2007.04.071,1.00E-13,/10.1016/j.cplett.2007.04.071,,,,,,
H2C=CHCO2CH2CF3,"2,2,2, -Trifluoroethylacrylate","2,2,2,-Trifluoroetilacrilato",,,1.53E-11,/10.1039/c9ra08034a,2.41E-10,/10.1016/j.atmosenv.2018.01.055,,,,,,
Cl2CHCOOCH3,Methyl dichloroacetate,Metildicloroacetato,,,3.55E-15,Por Publica Vianni,3.31E-13,Por Publica Vianni,,,,,,
CH3CH=CHCOOC2H5,Ethyl crotonate,Crotonato de etilo,,,4.96E-11,DOI:https://dx.doi.org/10.1021/jp2113889,2.52E-10,DOI:https://dx.doi.org/10.1021/jp2113889,,,8.00E-18,/10.1016/j.cplett.2013.05.049, ,
C10H16,Ocimene,Ocimeno,,,2.36E-10,https://doi.org/10.1039/C6RA20321C,5.50E-10,/10.1039/c8ra04931a,,,3.74E-16,/10.1016/j.atmosenv.2016.09.053,,
CF3CF2CF2COOH,Heptafluorobutyric acid,Ácido heptafluoro butírico,,,1.71E-13,/10.1021/jp036343b,,,,,,,,
HC?CCH2OH,Propargyl Alcohol,Alcohol Propargilico,,,2.05E-11,https://doi.org/10.1039/C5RA19432F,,,,,,,,
CH3(CH2)7CHO,Nonanal,Nonanal,,,3.20E-11,https://hal.archives-ouvertes.fr/hal-02485700/document,,,2.00E-14,https://doi.org/10.1021/cr0206420,,,,
CH3-CH2-COOH,Propionic acid,Acido propionico,,,1.20E-12,https://doi.org/10.1002/kin.550200406,,,,,,,,
CH3-CH2-CH2-COOH,n-butyric acid,Acido n-butirico,,,1.79E-12,https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=200902087708531138,,,,,,,,
 ,Alpha-terpinene,Alfa-terpineno,,,3.60E-10,https://doi.org/10.1002/kin.550180303,,,1.03E-10,https://doi.org/10.1002/bbpc.19961000410,2.11E-14,https://doi.org/10.1002/kin.550261207, ,
(C2H5)2NH,Diethylamine,Dietil amina,,,1.19E-10,10.1002/kin.20594,,,1.10E-12,https://www.researchgate.net/publication/255979042_Atmospheric_Degradation_of_Amines_ADA_Summary_report_from_atmospheric_chemistry_studies_of_amines_nitrosamines_nitramines_and_amides,1.33E-17,10.3866/PKU.WHXB20100705, ,
CH2=CHCH2SCH3,Methyl allyl sulphide,Metil alil sulfido,,,,,,,1.35E-12,https://doi.org/10.1016/0960-1686(92)90124-4,,,,
(C2H5)3N,Triethylamine,Trietil amina,,,,,,,,,8.20E-17,10.3866/PKU.WHXB20100705, ,
CF2HCOOH,Difluoroacetic acid,Acido difluoroacetico,,,,,2.0 E-14,https://doi.org/10.1021/jp020017z,,,,,,
CH?CH=CHCO?H,Crotonic Acid,Acido Crotonico,,,, ,,,,,,,,
CH3C6H4Cl,4-Chlorotoluene,4-Clorotolueno,,,,,,,,,,,,
 CH?(COOH)?,Malonic Acid,Ácido Malonico,,,,,,,,,,,,
(CH3)2CHCOOH,Isobutyl acid,Isobutil ácido,,,,,,,,,,,,
(CH3)2C=CHCH2CH2C(CH3)=CHCH2CH2C(CH3)=CHCH2OH,Trans-trans-farnesol,Trans-trans-farnesol,,,,,,,,,,,,
F2ClCCOOH,Chlorodifluoro acetic acid,Acido clorodifluoracetico ,,,,,,,,,,,,
CH3(CH2)6CHO,Octanal,Octanal,,,,,,,,,,,,
(CF3CO)2O,Trifluoroacetic anhydride,Anhidrido trifluoroacetico,,,,,,,,,,,,
CH3C6H4Cl,3-Chlorotoluene,3-Clorotolueno,,,,,,,,,,,,
CH3CH2CH2SSCH2CH2CH3,Dipropyl disulfide,Dipropil disulfuro,,,,,,,,,,,,
C2H5SCH=CH2,Ethyl vinyl sulfide,Etil vinil sulfuro,,,,,,,,,,,,
(C2H5)2S2,Diethyl disulfide,Dietil disulfuro,,,,,,,,,,,,
C8H16O,2 Ethyl hexanoic acid,2 Etil hexanoico acido ,,,,,,,,,,,,
C4H9ClO,1-Chlorobutanol,1-Cloro butanol,,,,,,,,,,,,
C6H5CH2NHCH3,Benzyl methyl amine,Bencil metil amina,,,,,,,,,,,,
CH2=CHCH2CH2COOH,4-Pentenoic Acid,Ácido 4-Pentenoico,,,,,,,,,,,,
 HOCH?CH?CH?CH?OH,Butanediol,Butanodiol,,,,, ,,,,,,,
 CH3(CH2)3NH2,n-butylamine,n-butilamina,,,,,,,,,,,,
Cl3CCO2CH2CH3,Ethyl trichloroacetate,Etil tricloroacetato,,,,,,,,,,,,
CH2=C(CH3)COOCH2CH=CH2,Allyl methacrylate,Metacrilato de alilo,,,,,,,,,,,,
C3H6O3S,"1,3-Propane sulfone","1,3-Propano sulfona",,,,,,,,,,,,
C3H8,Propane,Propano,0.493,44.1,,,1.40E-10,,,,,,,
C3H6,Propene,Propeno,0.00174,42.08,,,,,,,,,,
C2H6,Ethane,Etano,0.001282,30.07,,,4.80E-11,,,,,,,
C4H8,isobutene,Isobuteno,0.588,56.106,5.07E-11,https://doi.org/10.1021/cr00071a004,3.40E-10,https://doi.org/10.1021/cr00071a004,,,,,,
C4H10,Butane,Butano,0.573,58.12,2.38E-12,,,,,,,,,
(C2H5)2O,Diethyl ether,Dietil eter,0.713,74.12,1.32E-11,,,,,,,,,
